mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.25,"7 km WNW of Cobb, CA",1727222199460,1727229133897,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066376&format=geojson,,,,,automatic,0,24,nc,75066376,",nc75066376,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.009793,0.02,49.0,md,earthquake,"M 1.3 - 7 km WNW of Cobb, CA"
0.83,"9 km NW of The Geysers, CA",1727221805950,1727225836471,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066366&format=geojson,,,,,automatic,0,11,nc,75066366,",nc75066366,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.00534,0.02,154.0,md,earthquake,"M 0.8 - 9 km NW of The Geysers, CA"
1.09,"24 km SW of Ocotillo Wells, CA",1727221593330,1727270835521,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744711&format=geojson,,,,,reviewed,0,18,ci,40744711,",ci40744711,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",44.0,0.0302,0.18,59.0,ml,earthquake,"M 1.1 - 24 km SW of Ocotillo Wells, CA"
0.77,"8 km NNW of The Geysers, CA",1727220686300,1727224464300,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75066361,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75066361&format=geojson,,,,,automatic,0,9,nc,75066361,",nc75066361,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.01148,0.01,87.0,md,earthquake,"M 0.8 - 8 km NNW of The Geysers, CA"
1.44,"4 km NNW of Boron, CA",1727219866400,1727290316130,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744679,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744679&format=geojson,,,,,reviewed,0,32,ci,40744679,",ci40744679,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.1018,0.17,70.0,ml,quarry blast,"M 1.4 Quarry Blast - 4 km NNW of Boron, CA"
0.7,"82 km W of Salamatof, Alaska",1727219456337,1727228638730,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbls8rl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbls8rl&format=geojson,,,,,automatic,0,8,ak,024cbls8rl,",av93284963,ak024cbls8rl,",",av,ak,",",origin,phase-data,",,,0.2,,ml,earthquake,"M 0.7 - 82 km W of Salamatof, Alaska"
1.44,"5 km NE of Coso Junction, CA",1727218997930,1727270848631,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744655,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744655&format=geojson,,,,,reviewed,0,32,ci,40744655,",ci40744655,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.05647,0.16,70.0,ml,earthquake,"M 1.4 - 5 km NE of Coso Junction, CA"
0.71,"34 km WNW of Adak, Alaska",1727218814300,1727229047590,,https://earthquake.usgs.gov/earthquakes/eventpage/av93284948,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93284948&format=geojson,,,,,reviewed,0,8,av,93284948,",av93284948,",",av,",",origin,phase-data,",6.0,0.07485,0.16,323.0,ml,earthquake,"M 0.7 - 34 km WNW of Adak, Alaska"
2.3,"32 km WSW of Mentone, Texas",1727218163857,1727265406868,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024svom,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024svom&format=geojson,,,,,reviewed,0,81,tx,2024svom,",tx2024svom,",",tx,",",origin,phase-data,",15.0,0.0,0.1,62.0,ml,earthquake,"M 2.3 - 32 km WSW of Mentone, Texas"
2.0,"23 km NNE of Petersville, Alaska",1727218150571,1727218284973,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cblf2k1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cblf2k1&format=geojson,,,,,automatic,0,62,ak,024cblf2k1,",ak024cblf2k1,",",ak,",",origin,phase-data,",,,0.39,,ml,earthquake,"M 2.0 - 23 km NNE of Petersville, Alaska"
2.01,"13 km ENE of Ridgecrest, CA",1727217546570,1727270872523,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40744631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40744631&format=geojson,,,,,reviewed,0,62,ci,40744631,",ci40744631,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.09592,0.14,44.0,ml,earthquake,"M 2.0 - 13 km ENE of Ridgecrest, CA"
2.0,"48 km ENE of Fort Bidwell, California",1727217522405,1727222926167,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885126,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00885126&format=geojson,,,,,reviewed,0,62,nn,00885126,",nn00885126,",",nn,",",origin,phase-data,",4.0,0.541,0.0854,128.26,ml,earthquake,"M 2.0 - 48 km ENE of Fort Bidwell, California"
2.38,"7 km SW of Guánica, Puerto Rico",1727217131550,1727217794450,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71461143,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71461143&format=geojson,,,,,reviewed,0,87,pr,71461143,",pr71461143,",",pr,",",origin,phase-data,",6.0,0.08826,0.06,219.0,md,earthquake,"M 2.4 - 7 km SW of Guánica, Puerto Rico"
2.0,"6 km SW of Big Lake, Alaska",1727216628168,1727216737659,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbl9ku8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbl9ku8&format=geojson,,,,,automatic,0,62,ak,024cbl9ku8,",ak024cbl9ku8,",",ak,",",origin,phase-data,",,,0.31,,ml,earthquake,"M 2.0 - 6 km SW of Big Lake, Alaska"
1.6,"37 km NNW of Susitna, Alaska",1727216519914,1727216671619,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024cbl96bb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024cbl96bb&format=geojson,,,,,automatic,0,39,ak,024cbl96bb,",ak024cbl96bb,",",ak,",",origin,phase-data,",,,0.43,,ml,earthquake,"M 1.6 - 37 km NNW of Susitna, Alaska"
4.3,"85 km NW of Lebu, Chile",1727216313009,1727217920040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ng1m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ng1m&format=geojson,,,,,reviewed,0,284,us,7000ng1m,",us7000ng1m,",",us,",",origin,phase-data,",33.0,2.595,0.75,200.0,mb,earthquake,"M 4.3 - 85 km NW of Lebu, Chile"
5.1,Fiji region,1727215088968,1727216430040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ng1k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ng1k&format=geojson,,,,,reviewed,0,400,us,7000ng1k,",usauto7000ng1k,us7000ng1k,",",usauto,us,",",internal-moment-tensor,origin,phase-data,",77.0,2.781,1.02,50.0,mb,earthquake,M 5.1 - Fiji region
